,id,host_age
3413,SRR5078920,0.019178099999999997
10000,SRR6264084,0.083
10634,SRR6265340,0.083
10613,SRR6265296,0.083
3414,SRR5078921,0.07671230000000001
3314,SRR5078821,0.07671230000000001
3242,SRR5078748,0.07671230000000001
3707,SRR5079221,0.019178099999999997
3589,SRR5079102,0.145205
3073,SRR5078574,0.019178099999999997
8513,ERR1160711,0.0
9942,SRR6263995,0.083
10113,SRR6264297,0.019
3491,SRR5078999,0.019178099999999997
10173,SRR6264425,0.019
10162,SRR6264398,0.083
10406,SRR6264897,0.083
10286,SRR6264679,0.083
3508,SRR5079017,0.019178099999999997
3772,SRR5079287,0.019178099999999997
10572,SRR6265214,0.019
3098,SRR5078599,0.07671230000000001
10163,SRR6264405,0.019
10054,SRR6264192,0.083
10083,SRR6264247,0.083
9980,SRR6264057,0.019
10734,SRR6265564,0.083
10472,SRR6265037,0.019
10708,SRR6265510,0.083
10234,SRR6264554,0.019
3434,SRR5078941,0.07671230000000001
3216,SRR5078721,0.019178099999999997
10611,SRR6265293,0.083
10023,SRR6264124,0.019
9990,SRR6264071,0.019
10251,SRR6264590,0.083
10769,SRR6265634,0.019
10437,SRR6264962,0.083
3238,SRR5078744,0.07671230000000001
10601,SRR6265268,0.019
9941,SRR6263989,0.083
10687,SRR6265441,0.083
10598,SRR6265262,0.019
10119,SRR6264306,0.019
3402,SRR5078909,0.0219178
10319,SRR6264747,0.019
10453,SRR6265006,0.019
3341,SRR5078848,0.019178099999999997
3514,SRR5079023,0.126027
3387,SRR5078894,0.019178099999999997
10752,SRR6265601,0.019
10523,SRR6265127,0.083
10259,SRR6264619,0.019
3241,SRR5078747,0.019178099999999997
10398,SRR6264886,0.019
10399,SRR6264887,0.083
2449,SRR961751,0.1
10414,SRR6264912,0.019
10299,SRR6264710,0.019
10347,SRR6264800,0.083
10599,SRR6265263,0.083
3675,SRR5079188,0.019178099999999997
10025,SRR6264128,0.083
3749,SRR5079264,0.07671230000000001
10739,SRR6265576,0.083
8471,ERR1160464,0.0
3394,SRR5078901,0.019178099999999997
3473,SRR5078980,0.019178099999999997
10305,SRR6264725,0.083
10082,SRR6264244,0.019
10415,SRR6264913,0.083
3496,SRR5079004,0.019178099999999997
10705,SRR6265476,0.083
9938,SRR6263976,0.083
3251,SRR5078758,0.019178099999999997
10118,SRR6264304,0.019
10528,SRR6265134,0.019
3768,SRR5079283,0.07671230000000001
3148,SRR5078650,0.115068
8383,ERR1090152,0.0
3635,SRR5079148,0.07671230000000001
10619,SRR6265312,0.083
3624,SRR5079137,0.134247
3681,SRR5079195,0.07671230000000001
10620,SRR6265313,0.019
3711,SRR5079225,0.07671230000000001
10791,SRR6265675,0.083
3270,SRR5078777,0.019178099999999997
10517,SRR6265121,0.083
3678,SRR5079191,0.019178099999999997
10785,SRR6265659,0.019
3328,SRR5078835,0.07671230000000001
10646,SRR6265358,0.019
3081,SRR5078582,0.07671230000000001
9973,SRR6264043,0.019
9984,SRR6264063,0.083
10525,SRR6265129,0.019
3089,SRR5078590,0.019178099999999997
8655,ERR1389637,0.0
10486,SRR6265063,0.019
3292,SRR5078799,0.0246575
3446,SRR5078953,0.019178099999999997
3411,SRR5078918,0.07671230000000001
10507,SRR6265100,0.083
3131,SRR5078633,0.07671230000000001
3422,SRR5078929,0.019178099999999997
2432,SRR961823,0.1
3117,SRR5078619,0.019178099999999997
10586,SRR6265242,0.019
3672,SRR5079185,0.019178099999999997
10182,SRR6264442,0.083
10171,SRR6264422,0.019
3630,SRR5079143,0.12876700000000002
10193,SRR6264469,0.083
10397,SRR6264885,0.083
3710,SRR5079224,0.019178099999999997
10649,SRR6265362,0.083
10552,SRR6265175,0.019
10532,SRR6265138,0.019
10058,SRR6264198,0.019
3182,SRR5078685,0.019178099999999997
3484,SRR5078992,0.019178099999999997
3453,SRR5078960,0.07671230000000001
3185,SRR5078688,0.07671230000000001
3719,SRR5079233,0.07671230000000001
10263,SRR6264623,0.019
10281,SRR6264670,0.083
3611,SRR5079124,0.07671230000000001
3353,SRR5078860,0.019178099999999997
10165,SRR6264409,0.083
10428,SRR6264935,0.083
10557,SRR6265181,0.083
10231,SRR6264547,0.019
10633,SRR6265336,0.083
3534,SRR5079047,0.0219178
3166,SRR5078669,0.019178099999999997
3218,SRR5078723,0.07671230000000001
10753,SRR6265603,0.083
10285,SRR6264678,0.019
3221,SRR5078726,0.019178099999999997
3464,SRR5078971,0.07671230000000001
10443,SRR6264987,0.083
10554,SRR6265178,0.019
10060,SRR6264203,0.019
3613,SRR5079126,0.07671230000000001
10556,SRR6265180,0.083
10314,SRR6264742,0.083
10387,SRR6264859,0.019
3529,SRR5079038,0.0246575
3642,SRR5079155,0.019178099999999997
10248,SRR6264584,0.083
3597,SRR5079110,0.019178099999999997
3752,SRR5079267,0.07671230000000001
10691,SRR6265451,0.083
3106,SRR5078607,0.07671230000000001
3760,SRR5079275,0.019178099999999997
3159,SRR5078662,0.019178099999999997
10097,SRR6264271,0.019
10240,SRR6264572,0.019
3746,SRR5079261,0.019178099999999997
9191,ERR2057093,0.0
3076,SRR5078577,0.0986301
10046,SRR6264172,0.083
3354,SRR5078861,0.019178099999999997
3667,SRR5079180,0.019178099999999997
10694,SRR6265456,0.019
10701,SRR6265464,0.083
10771,SRR6265637,0.083
10321,SRR6264749,0.019
10264,SRR6264626,0.019
10774,SRR6265643,0.019
10209,SRR6264505,0.019
10719,SRR6265527,0.019
10640,SRR6265348,0.019
10226,SRR6264540,0.019
3524,SRR5079033,0.07671230000000001
2618,SRR1200244,0.00273973
2444,SRR961753,0.1
9983,SRR6264062,0.019
3257,SRR5078764,0.019178099999999997
3211,SRR5078716,0.07671230000000001
10206,SRR6264499,0.083
3725,SRR5079240,0.019178099999999997
10462,SRR6265024,0.019
3244,SRR5078751,0.07671230000000001
3598,SRR5079111,0.019178099999999997
10311,SRR6264739,0.019
3338,SRR5078845,0.07671230000000001
10071,SRR6264223,0.083
10057,SRR6264197,0.083
10642,SRR6265350,0.019
10220,SRR6264528,0.019
10476,SRR6265049,0.019
10550,SRR6265169,0.083
10126,SRR6264315,0.083
10105,SRR6264286,0.019
10495,SRR6265082,0.019
3431,SRR5078938,0.019178099999999997
10293,SRR6264693,0.083
10567,SRR6265204,0.019
9986,SRR6264067,0.083
10129,SRR6264322,0.083
3745,SRR5079260,0.019178099999999997
10194,SRR6264472,0.019
3476,SRR5078983,0.0219178
10689,SRR6265447,0.083
10736,SRR6265568,0.019
9944,SRR6263997,0.083
10313,SRR6264741,0.019
10577,SRR6265227,0.019
3376,SRR5078883,0.07671230000000001
10232,SRR6264548,0.083
10717,SRR6265525,0.083
10772,SRR6265640,0.083
10766,SRR6265630,0.019
3652,SRR5079165,0.019178099999999997
10745,SRR6265587,0.083
10660,SRR6265377,0.083
3281,SRR5078788,0.115068
10583,SRR6265237,0.019
10740,SRR6265579,0.019
10711,SRR6265514,0.083
